participant_id,alpha,temperature,initial_k,success,log_likelihood
2023,1.6849417010385301,1.093218115794089,50.0,True,-13.42354475929225
2024,0.581437341979454,0.6160092800858203,5.0,True,-6.105502230670032
2025,0.336099245576035,1.2904619823722945,50.0,True,-12.706921268964422
2026,3.2952307328627763,0.8598484359407934,5.0,True,-7.818855242963957
2027,0.001,1.474414340516556,11.407296463384192,True,-11.541736678504861
2028,20.0,3.4404861974676506,19.08646512225064,True,-5.421111885489523
2029,19.99856064707973,2.91543132618005,29.735992994357186,True,-4.246094709961232
2030,1.788786041943745,1.950513232211593,50.0,True,-17.194544250746603
2031,0.5542789020415849,1.4079921761372998,48.50071752859174,True,-14.42355455170821
2032,3.77926163447391,5.7936773246021005,8.164493440006739,True,-21.811701978814845
2033,1.3125244863449084,0.9070785623138325,50.0,True,-11.35791405612683
2034,0.001,1.0825667728457156,10.613332401360768,True,-7.884748367540816
2035,20.0,9.020008750006085,50.0,True,-9.688847666107764
2036,1.3515871329039424,3.738873931524455,5.0,True,-21.742570783032736
2037,20.0,0.01,50.0,True,3.600000297685338e-09
2038,2.254414805109775,3.4281015601119855,17.90079826343169,True,-20.951842737765787
2039,0.19857563278350548,1.377884156241812,5.0,True,-11.645321837289451
2040,20.0,9.705216958891972,50.0,True,-9.575121039916496
2041,3.413426521300776,0.969782919978334,7.764006998660797,True,-7.526355773724399
2042,1.1755779329132665,6.84416639952071,7.610490974102958,True,-23.745209743312294
2043,20.0,2.704195517838512,50.0,True,-4.055797785884982
2044,1.3840879200458498,1.9686905270179367,10.666785286613994,True,-17.884312998370532
2045,12.983873902336907,10.0,19.51326894819052,True,-17.116908540113037
2046,0.31112460021604976,0.7226137841180724,5.0,True,-6.021683765271259
2047,2.0375874850759814,0.7850883234614726,47.40136787506562,True,-8.168558331385636
2048,1.0887907104645642,2.488034918003418,16.132613548198044,True,-19.521264459270345
