Participant ID,Trial,Total Pot,Individual Offer,Opponent Offer,Model Decision,Utility,Accept Probability,Expected Proportion
1006,9,18,4.5,13.5,Accept,2.59,0.93,0.37
1006,10,12,4.2,7.8,Accept,4.15,0.98,0.33
1006,12,9,3.6,5.4,Accept,3.46,0.97,0.34
1006,13,9,4.5,4.5,Accept,4.18,0.98,0.36
1006,14,12,4.8,7.2,Accept,4.8,0.99,0.4
1006,15,12,3.0,9.0,Reject,1.38,0.8,0.4
1006,16,15,5.25,9.75,Accept,5.19,0.99,0.35
1006,18,9,2.7,6.3,Accept,2.27,0.91,0.35
1006,19,15,3.75,11.25,Accept,2.57,0.93,0.34
1006,20,18,5.4,12.6,Accept,5.22,0.99,0.31
1006,21,15,1.5,13.5,Reject,-1.31,0.21,0.31
1006,22,15,1.5,13.5,Reject,-0.46,0.39,0.25
1006,23,9,2.25,6.75,Reject,2.14,0.89,0.2
1006,24,12,2.4,9.6,Accept,2.22,0.9,0.22
1006,25,12,1.2,10.8,Accept,-0.0,0.5,0.21
1006,26,15,5.25,9.75,Accept,4.6,0.99,0.18
1006,27,9,4.5,4.5,Accept,3.89,0.98,0.23
1006,28,15,3.75,11.25,Accept,2.93,0.95,0.31
1006,29,15,6.0,9.0,Accept,5.6,1.0,0.29
1006,30,15,6.0,9.0,Accept,5.72,1.0,0.32
1006,31,9,1.8,7.2,Accept,0.61,0.65,0.35
1006,35,9,2.7,6.3,Accept,2.67,0.94,0.3
1006,36,6,1.8,4.2,Accept,1.79,0.86,0.3
1006,38,9,1.8,7.2,Accept,0.98,0.73,0.3
1006,39,9,2.25,6.75,Accept,2.08,0.89,0.27
1006,41,15,3.0,12.0,Accept,2.13,0.89,0.26
1006,47,6,1.2,4.8,Accept,0.96,0.72,0.25
1006,48,6,2.4,3.6,Accept,2.15,0.9,0.23
1006,49,15,5.25,9.75,Accept,5.0,0.99,0.28
1006,51,9,3.6,5.4,Accept,3.38,0.97,0.3
